zone,day,peak_hour,violations,avg_severity,priority_score
residential,Sun,10am,3854,2.49,9578.0
residential,Sun,11am,3460,2.39,8255.0
residential,Sat,11am,2893,2.48,7182.0
residential,Sun,9am,2795,2.57,7180.0
residential,Sat,10am,2855,2.44,6967.0
residential,Mon,11am,2657,2.48,6580.0
residential,Tue,10am,2601,2.5,6505.0
residential,Thu,10am,2365,2.71,6404.0
residential,Thu,11am,2565,2.42,6204.0
residential,Wed,10am,2484,2.49,6184.0
residential,Tue,11am,2437,2.52,6146.0
residential,Mon,10am,2442,2.44,5954.0
residential,Fri,11am,2433,2.36,5749.0
residential,Wed,11am,2269,2.4,5442.0
residential,Thu,4am,2281,2.38,5418.0
residential,Mon,9am,2154,2.38,5130.0
residential,Fri,10am,2179,2.32,5062.0
residential,Wed,9am,2092,2.37,4957.0
residential,Sat,8am,1820,2.64,4805.0
residential,Tue,4am,1966,2.41,4734.0
residential,Fri,9am,1791,2.5,4485.0
arterial,Thu,8am,1171,3.77,4418.0
arterial,Tue,8am,1176,3.27,3846.0
arterial,Wed,4am,1114,3.26,3637.0
arterial,Sat,8am,1093,3.11,3398.0
arterial,Thu,6am,1013,3.23,3269.0
arterial,Thu,10am,1169,2.77,3238.0
arterial,Sat,11am,1283,2.39,3071.0
arterial,Tue,4am,1025,2.98,3053.0
arterial,Tue,10am,1228,2.42,2973.0
arterial,Wed,5am,1051,2.78,2917.0
arterial,Wed,3am,1015,2.87,2908.0
arterial,Fri,11am,1055,2.64,2785.0
arterial,Sat,3am,983,2.75,2705.0
arterial,Fri,3am,953,2.83,2701.0
arterial,Fri,5am,820,3.29,2696.0
arterial,Sun,11am,1098,2.4,2632.0
arterial,Sun,10am,1122,2.3,2585.0
arterial,Sun,8am,845,2.79,2358.0
commercial,Sun,9am,785,2.66,2088.0
commercial,Sun,10am,873,2.33,2032.0
school_hospital,Tue,4am,328,5.85,1919.0
arterial,Mon,11am,705,2.71,1913.0
commercial,Sun,11am,740,2.52,1867.0
school_hospital,Fri,6am,327,5.45,1783.0
school_hospital,Fri,5am,529,3.26,1723.0
commercial,Mon,11am,763,2.16,1648.0
arterial,Mon,9am,629,2.59,1630.0
school_hospital,Thu,4am,505,3.22,1625.0
arterial,Mon,10am,654,2.37,1553.0
school_hospital,Fri,4am,353,4.18,1475.0
school_hospital,Tue,3am,280,5.25,1469.0
commercial,Sat,10am,624,2.32,1447.0
school_hospital,Sat,4am,518,2.64,1369.0
commercial,Fri,10am,607,2.1,1277.0
commercial,Mon,10am,555,2.25,1246.0
school_hospital,Thu,11am,296,4.16,1231.0
commercial,Mon,9am,545,2.17,1180.0
commercial,Fri,11am,547,2.16,1180.0
commercial,Sat,11am,497,2.35,1167.0
school_hospital,Thu,9am,441,2.64,1163.0
school_hospital,Wed,9am,332,3.41,1132.0
school_hospital,Wed,5am,290,3.81,1106.0
commercial,Tue,10am,484,2.27,1099.0
school_hospital,Tue,8am,408,2.68,1093.0
school_hospital,Sat,3am,287,3.79,1089.0
school_hospital,Sun,10am,414,2.62,1084.0
school_hospital,Wed,10am,378,2.68,1014.0
school_hospital,Sun,9am,312,3.22,1005.0
commercial,Thu,10am,469,2.14,1003.0
commercial,Tue,8am,441,2.22,980.0
commercial,Wed,11am,419,2.34,979.0
commercial,Fri,9am,449,2.11,946.0
commercial,Thu,9am,446,2.1,938.0
commercial,Thu,11am,430,2.15,926.0
commercial,Wed,6am,440,2.07,909.0
school_hospital,Sat,10am,321,2.8,900.0
commercial,Wed,10am,406,2.19,888.0
school_hospital,Sun,8am,285,3.01,857.0
commercial,Sat,9am,342,2.35,803.0
commercial,Tue,9am,384,2.07,795.0
metro,Thu,6am,206,3.21,661.0
metro,Tue,5am,279,2.16,602.0
metro,Sun,2pm,145,3.92,569.0
metro,Thu,7am,134,3.66,490.0
metro,Wed,8am,236,2.03,479.0
metro,Wed,4am,203,2.32,471.0
metro,Tue,4am,228,2.04,465.0
school_hospital,Mon,10am,105,3.79,398.0
metro,Tue,9am,194,2.05,397.0
metro,Sat,4am,174,2.25,391.0
metro,Sat,3am,181,2.11,382.0
metro,Fri,6am,144,2.56,369.0
school_hospital,Mon,8am,145,2.52,365.0
metro,Sun,8am,133,2.56,340.0
school_hospital,Mon,5am,143,2.29,327.0
metro,Fri,3am,156,2.03,317.0
metro,Mon,11am,134,2.33,312.0
metro,Thu,8am,142,2.06,292.0
metro,Fri,9am,140,2.06,289.0
metro,Wed,9am,129,2.19,283.0
metro,Sun,11am,128,2.18,279.0
metro,Sat,7am,65,3.94,256.0
metro,Mon,10am,66,2.26,149.0
metro,Mon,12pm,63,2.08,131.0
